"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","visib","dewp","NUM_CRIMES"
"148",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017,63.8,9.3,10,43.5,0.584905660377358
"149",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2017,70.5,4,10,41.5,0.905660377358491
"150",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2017,73.4,5.4,10,48.6,0.849056603773585
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2017,80.1,7.5,10,58.5,0.839622641509434
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2017,70,9.9,10,55.7,0.578616352201258
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2017,64.5,12.6,10,44.5,0.858490566037736
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2017,66.7,8.9,10,43.7,0.735849056603774
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2017,69.1,3.3,10,42.9,0.679245283018868
"156",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2017,74.3,7.5,9.9,52.7,0.827044025157233
"157",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2017,75.6,9.9,10,53.9,0.729559748427673
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2017,81.8,13.1,10,55.9,0.817610062893082
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2017,85,11.6,10,60.5,0.594339622641509
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2017,79.9,6.5,10,62.5,0.80188679245283
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2017,77.3,7.9,9.6,64.4,0.679245283018868
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2017,76.2,8.1,9.5,64.4,0.849056603773585
"163",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2017,76.8,8.8,9.8,59.9,0.886792452830189
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2017,78,8.7,9.8,66.7,0.861635220125786
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2017,74.4,10,10,63.6,0.732704402515723
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2017,70.2,9.3,10,54.4,0.60377358490566
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2017,67.2,9,10,52.8,0.783018867924528
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2017,67.7,5.5,10,53.1,0.732704402515723
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2017,78.5,10.7,10,63.5,0.833333333333333
"170",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2017,76.9,10.7,9.7,62.2,0.707547169811321
"171",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2017,69.6,11,10,51.5,0.836477987421384
"172",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2017,64,11,9.9,46.6,0.764150943396226
"173",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2017,64,10.5,10,46.1,0.735849056603774
"174",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2017,64.6,7,10,44.4,0.688679245283019
"175",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2017,67.6,11.1,9.7,50.8,0.484276729559748
"176",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2017,74.4,12.2,9.6,63.8,0.70125786163522
"177",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2017,73,5.7,8.4,65.3,0.707547169811321
"178",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,74.4,9,10,56.3,0.713836477987421
"179",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,73,6.7,10,62.2,0.974842767295597
"180",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,72.3,7,10,61.2,0.764150943396226
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,76.2,5.4,9.5,61.3,0.962264150943396
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,80.7,4.5,10,64,0.716981132075472
"183",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,80.9,8.7,9.8,66,0.644654088050314
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,70.5,6.6,10,55.3,0.647798742138365
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,73.4,6.1,10,51.8,0.849056603773585
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,77,7.2,9.5,66.1,0.710691823899371
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,76.4,4.3,9.5,68.3,0.679245283018868
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,75.4,9.4,8.9,70,0.433962264150943
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,78.2,8.7,9.9,69.2,0.839622641509434
"190",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,70.9,8.3,10,59.7,0.770440251572327
"191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,71.8,9.6,10,61.5,0.814465408805031
"192",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,67.4,6.1,10,56.2,0.924528301886792
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,73.7,3.6,9,59.2,0.751572327044025
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,80.5,5.8,10,68.1,0.679245283018868
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,76.7,8.6,9.1,69,0.654088050314465
"196",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,79.7,4.9,9.7,69.7,0.644654088050314
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,77.4,7.5,9,69.7,0.635220125786163
"198",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,78.8,5,9.6,67.5,0.908805031446541
"199",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,70.6,9.4,10,60.1,0.720125786163522
"200",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,71.2,6.6,10,57.7,0.933962264150943
"201",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,74.9,6.8,9.9,62.1,0.625786163522013
"202",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,77.9,8.6,8.6,68,0.745283018867924
"203",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,73.6,12,10,60.1,0.937106918238994
